state_code,district_code,number_of_cases,average
05,02,141509,2257.945961034233
05,03,69595,1924.5296285652646
05,04,107205,1679.9076162492488
05,05,122091,1882.2924826563828
05,06,123899,1911.8103455233602
05,07,60812,1999.5601937117578
05,08,59134,1578.0933980451189
05,09,33217,2050.495664870409
05,10,83806,1923.9192480252273
05,11,111528,1901.9357784592203
06,01,241662,2037.4595840471566
06,02,41246,2382.517371381473
06,03,47703,2318.381464478108
06,04,43373,2350.3815737901596
06,05,35407,2475.958539271883
06,06,81934,2150.471800473549
06,07,65072,2348.4960428448453
06,08,35722,2392.000965791387
06,09,16624,2439.606442492785
06,10,121813,2442.373437153639
06,11,51402,2201.158369324152
06,12,34189,2260.326084413099
06,13,58304,2345.464101948388
06,15,37747,2296.3981376003594
06,16,56972,2452.5722986730607
06,17,15320,2369.433746736282
06,18,39414,2313.468133150683
06,19,27330,2468.854061470913
06,20,57326,2465.8180494016756
06,21,34355,2344.0732789986864
06,22,12811,2430.023339317784
06,23,15113,2918.3706411698518
06,24,7530,2555.417529880487
06,25,4291,2564.8144954556046
06,26,7434,3362.119249394679
06,27,2672,2943.1962949101826
06,28,967,2589.592037228545
07,01,53213,2239.291009715665
07,02,32369,2137.399178226075
07,03,40903,2256.746424467614
07,04,25800,2320.58333333334
07,05,25458,2381.5932516301264
07,06,33368,2128.280418364893
07,07,82070,2131.8583891799726
07,08,18222,2200.0767753265295
07,09,143251,2079.8812015274107
07,10,67550,2101.7627905255576
07,11,102179,2084.2413803227496
07,12,28128,2131.491272042106
07,13,35616,2087.496560534586
07,14,20521,2167.658666731621
07,15,31684,2355.1170306779636
07,16,44024,2370.9879497546763
07,17,60122,2334.3072835234743
07,18,11555,2136.4219818260585
07,19,23117,2341.874334905052
07,20,50889,2068.899644323898
07,21,23512,1964.1533046954858
07,22,124253,2456.3091353931027
07,23,7906,1574.9403617505645
07,24,3505,1979.4768901569328
08,01,335057,2585.5912665606033
08,02,72813,2563.3972092895674
08,03,136699,2636.6677883524667
08,04,101199,2320.0223767032858
08,05,108947,2510.4775303588253
08,06,114664,2562.190787867202
08,07,50051,2702.958841981189
08,09,94388,2428.4968163326193
08,10,128404,2652.3221667549287
08,11,58215,2633.244610495616
08,12,52946,2604.223624069815
08,13,113760,2699.7941279887846
08,14,46842,2638.018434311064
08,15,53171,2809.6765624118198
08,16,44232,2243.5652694881132
08,17,122452,2440.75511629049
08,18,107392,2617.2895141164704
08,19,35687,2682.2415305293125
08,20,22970,2620.087309534169
08,21,59045,2814.969209924602
08,22,46321,2826.4258867468147
08,23,114162,2547.1099884374403
08,24,80162,2665.934139617257
08,25,31998,2428.3467091693174
08,26,69272,2631.4693382607634
08,27,44755,2263.8685509998863
08,28,124498,2721.8736244758757
08,29,108271,2865.6344081056095
08,30,77113,3005.272146071367
08,31,83231,2674.3767106006367
08,33,58830,3177.8270695223464
08,34,74388,3009.226985535303
